crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month,parsed_datetime,date,time
05/26/2024 09:22:00 PM,5.0,4,5,6,6,3,4,3,3,1,3,FAILING TO YIELD RIGHT-OF-WAY,2,5,2.0,0.0,1.0,0.0,1.0,1.0,21,1,5,05/26/2024,2024-05-26,21:22:00
05/26/2024 11:00:00 AM,3.0,5,2,5,6,3,4,1,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,11,1,5,05/26/2024,2024-05-26,11:00:00
05/29/2024 07:40:00 AM,5.0,3,2,5,5,3,3,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,4.0,7,4,5,05/29/2024,2024-05-29,07:40:00
03/29/2024 07:20:00 PM,5.0,3,6,6,5,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,6,3,03/29/2024,2024-03-29,19:20:00
06/07/2024 02:41:00 PM,7.0,3,2,5,4,3,3,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,4.0,14,6,6,06/07/2024,2024-06-07,14:41:00
06/23/2024 09:50:00 AM,5.0,3,2,6,14,3,3,3,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,4,2.0,0.0,0.0,2.0,0.0,0.0,9,1,6,06/23/2024,2024-06-23,09:50:00
07/26/2024 05:30:00 AM,5.0,3,2,13,6,4,1,1,3,1,4,UNABLE TO DETERMINE,2,5,1.0,0.0,1.0,0.0,0.0,1.0,5,6,7,07/26/2024,2024-07-26,05:30:00
07/24/2024 10:57:00 PM,7.0,3,6,8,4,4,3,3,3,1,2,FOLLOWING TOO CLOSELY,2,3,1.0,0.0,0.0,0.0,1.0,1.0,22,4,7,07/24/2024,2024-07-24,22:57:00
06/25/2024 07:21:00 PM,5.0,3,2,4,5,3,3,1,2,1,2,FAILING TO REDUCE SPEED TO AVOID CRASH,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,3,6,06/25/2024,2024-06-25,19:21:00
02/04/2024 12:30:00 PM,1.0,3,2,13,10,3,1,1,3,1,4,UNABLE TO DETERMINE,2,3,1.0,0.0,0.0,0.0,1.0,2.0,12,1,2,02/04/2024,2024-02-04,12:30:00
07/09/2024 07:00:00 PM,5.0,5,5,6,5,3,4,3,3,1,4,UNABLE TO DETERMINE,2,4,2.0,0.0,0.0,2.0,0.0,0.0,19,3,7,07/09/2024,2024-07-09,19:00:00
08/04/2024 06:30:00 PM,5.0,3,2,6,6,3,3,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,1,8,08/04/2024,2024-08-04,18:30:00
04/26/2024 03:57:00 PM,5.0,5,2,5,5,3,4,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,4,1.0,0.0,0.0,1.0,0.0,2.0,15,6,4,04/26/2024,2024-04-26,15:57:00
02/16/2024 01:00:00 PM,5.0,3,2,4,6,3,3,3,2,1,4,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,6,2,02/16/2024,2024-02-16,13:00:00
05/29/2024 10:37:00 PM,5.0,3,5,5,5,3,3,3,3,1,4,DISREGARDING OTHER TRAFFIC SIGNS,2,4,1.0,0.0,0.0,1.0,0.0,2.0,22,4,5,05/29/2024,2024-05-29,22:37:00
06/22/2024 05:45:00 PM,5.0,3,2,4,4,3,1,3,2,1,3,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,7,6,06/22/2024,2024-06-22,17:45:00
08/03/2024 07:27:00 PM,5.0,3,4,14,3,3,3,1,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,3.0,19,7,8,08/03/2024,2024-08-03,19:27:00
01/20/2024 03:00:00 PM,3.0,3,2,4,6,4,3,3,2,1,3,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,3.0,15,7,1,01/20/2024,2024-01-20,15:00:00
08/10/2024 10:50:00 PM,7.0,3,5,5,5,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,22,7,8,08/10/2024,2024-08-10,22:50:00
07/17/2024 09:30:00 AM,5.0,3,2,4,5,3,3,1,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9,4,7,07/17/2024,2024-07-17,09:30:00
03/08/2024 07:30:00 PM,5.0,5,5,5,5,3,4,1,2,1,4,NOT APPLICABLE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,6,3,03/08/2024,2024-03-08,19:30:00
03/08/2024 01:45:00 PM,5.0,5,2,5,6,3,4,3,3,1,3,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,3.0,13,6,3,03/08/2024,2024-03-08,13:45:00
04/29/2024 09:46:00 PM,5.0,3,5,6,4,3,3,3,3,0,4,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,21,2,4,04/29/2024,2024-04-29,21:46:00
06/27/2024 09:25:00 AM,7.0,3,2,5,5,3,3,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9,5,6,06/27/2024,2024-06-27,09:25:00
02/12/2024 08:35:00 AM,7.0,3,2,5,10,3,3,3,3,1,3,UNABLE TO DETERMINE,2,4,1.0,0.0,0.0,1.0,0.0,1.0,8,2,2,02/12/2024,2024-02-12,08:35:00
07/07/2024 01:37:00 PM,3.0,3,2,4,4,3,3,3,2,0,3,FAILING TO REDUCE SPEED TO AVOID CRASH,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,1,7,07/07/2024,2024-07-07,13:37:00
01/08/2024 08:17:00 PM,5.0,3,5,13,4,3,3,3,3,1,3,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,4,1.0,0.0,0.0,1.0,0.0,1.0,20,2,1,01/08/2024,2024-01-08,20:17:00
02/26/2024 12:30:00 PM,1.0,3,2,3,10,3,1,1,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,2,2,02/26/2024,2024-02-26,12:30:00
